Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
07-08-2020 22:17:46;00000000;Fx-Belastung Comp.;;;;1.0;3'525.33;0.00;0.00;-3'525.33;CHF;-3'525.33;263.69;CHF
07-08-2020 15:48:44;74208215;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;47.0;80.60;36.53;0.00;-3'824.73;USD;-3'824.73;-3'824.73;USD
07-08-2020 01:25:30;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'789.02;CHF
23-07-2020 22:16:59;00000000;Fx-Gutschrift Comp.;;;;1.0;1'541.32;0.00;0.00;1'541.32;USD;1'541.32;0.00;USD
23-07-2020 22:16:59;00000000;Fx-Belastung Comp.;;;;1.0;1'440.97;0.00;0.00;-1'440.97;CHF;-1'440.97;289.02;CHF
23-07-2020 22:16:59;00000000;Fx-Gutschrift Comp.;;;;1.0;5'131.09;0.00;0.00;5'131.09;EUR;5'131.09;0.00;EUR
23-07-2020 22:16:59;00000000;Fx-Belastung Comp.;;;;1.0;5'560.69;0.00;0.00;-5'560.69;CHF;-5'560.69;1'729.99;CHF
23-07-2020 16:05:24;73760786;Kauf;WM;WASTE MANAGEMENT ORD;US94106L1098;15.0;108.39;28.29;0.00;-1'654.14;USD;-1'654.14;-1'541.32;USD
23-07-2020 16:03:05;73760656;Kauf;ASML;ASML HOLDING ORD;NL0010273215;12.0;339.80;11.12;0.00;-4'088.72;EUR;-4'088.72;-5'131.09;EUR
23-07-2020 16:03:05;73760656;Kauf;ASML;ASML HOLDING ORD;NL0010273215;3.0;339.80;27.38;0.00;-1'046.78;EUR;-1'046.78;-1'042.37;EUR
23-07-2020 16:00:59;73760478;Verkauf;SREN;SWISS RE N;CH0126881561;89.0;74.08;14.95;0.00;6'578.20;CHF;6'578.20;7'290.68;CHF
23-07-2020 16:00:59;73760478;Verkauf;SREN;SWISS RE N;CH0126881561;7.0;74.08;22.75;0.00;495.80;CHF;495.80;712.48;CHF
07-07-2020 09:47:20;73210774;Kauf;SREN;SWISS RE N;CH0126881561;47.0;75.12;35.00;0.00;-3'565.65;CHF;-3'565.65;216.68;CHF
07-07-2020 01:25:31;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'782.33;CHF
